query_raw	query_normalized	normalization_group_id	normalization_type	normalization_reason
бусинка славянские руны	бусинка славянские руны	QG_f23a4db65eda	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусинки в машину на зеркало	бусинки в машину на зеркало	QG_48efc101360c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины акрил с рунами	бусины акрил с рунами	QG_099dd10930b6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины акриловые народные	бусины акриловые народные	QG_1279bfd1ef73	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины акриловые от сглаза 12мм	бусины акриловые от сглаза 12мм	QG_2b04777b6257	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины в машину	бусины в машину	QG_c340e8a8ea01	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины в машину на зеркало	бусины в машину на зеркало	QG_4e0f086bfd38	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины деревянные	бусины деревянные	QG_5e1453983add	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины диаметр 1 см	бусины диаметр 1 см	QG_b2e5942dcdbb	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины для подвески в машину мужские	бусины для подвески в машину мужские	QG_a4281a80cc02	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины для подвески на зеркало в машину	бусины для подвески на зеркало в машину	QG_e90939d3a6b6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины для терм	бусины для терм	QG_9bef575f7d1d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины знаки зодиака подвеска набор	бусины знаки зодиака подвеска набор	QG_690aefa260c0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины и аксессуары и детали для чёток	бусины и аксессуары и детали для четок	QG_e1ac40d06ed5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины руны	бусины руны	QG_f27acc521191	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины символ дерева 8 мм	бусины символ дерева 8 мм	QG_e0c98e992dcb	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины славянский	бусины славянский	QG_92395f30f8a6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины талисманы	бусины талисманы	QG_9eeb60248063	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусины шармы наборна удачу	бусины шармы наборна удачу	QG_e03ee69e32e5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы в авто	бусы в авто	QG_32ab60947ddf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы в машину на зеркало лада спорт	бусы в машину на зеркало лада спорт	QG_ea0295d8e531	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы в машину на зеркало ленд ровер	бусы в машину на зеркало ленд ровер	QG_e60d9954a97a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы в машину на зеркало тюремные	бусы в машину на зеркало тюремные	QG_e208a7d47650	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы в машину с	бусы в машину с	QG_96f441bf3191	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы для знака зодиака	бусы для знака зодиака	QG_1fd13578af65	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы для стрельца	бусы для стрельца	QG_8fb7751c00b1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы знак	бусы знак	QG_9c91ad164b2d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы знак зодиака	бусы знак зодиака	QG_fdef4639d706	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы коловрат	бусы коловрат	QG_d656990b49b1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы мужские черные телец	бусы мужские черные телец	QG_cf81970e7c20	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы на зерколо	бусы на зерколо	QG_b13b2bccb923	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы оберег	бусы оберег	QG_4f57c007a6ea	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы подвеска в машину	бусы подвеска в машину	QG_704f30e5a09f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы славянские обереги	бусы славянские обереги	QG_a1a8133197e0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бусы японские мужские браслет	бусы японские мужские браслет	QG_6aaaca4c36f2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бутсы подвеска в машину на зеркало	бутсы подвеска в машину на зеркало	QG_69f038153d63	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бутсы футбольные на зеркало подвеска	бутсы футбольные на зеркало подвеска	QG_60f900a586d6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
бык в машину	бык в машину	QG_26ebd0d5b61a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в авто славянские символы в машину	в авто славянские символы в машину	QG_fd13f164c567	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в автомобиль на зеркало подвеска	в автомобиль на зеркало подвеска	QG_7dd5acc47a95	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в автомобиль подвеска	в автомобиль подвеска	QG_bc6507e55c2c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в автопутешествие в машине для путешествий людям	в автопутешествие в машине для путешествий людям	QG_d5b520f7d897	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в дом оберег	в дом оберег	QG_75d4106755b3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машине деву	в машине деву	QG_c16637cfa7ea	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машине на зеркало подвеска	в машине на зеркало подвеска	QG_7c14ba081f8d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машине хобби хорс	в машине хобби хорс	QG_6bb98b2ae4d0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину	в машину	QG_b4e3c415c263	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину авулет	в машину авулет	QG_04479e7c644d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину аксессуары на зеркало подвеска	в машину аксессуары на зеркало подвеска	QG_83a693125c2c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину амулет	в машину амулет	QG_dfb0d2ccb72e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину брелок на зеркало бусы	в машину брелок на зеркало бусы	QG_79d3b50dc994	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину для дев	в машину для дев	QG_1a5d2f770e5a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину для малыша подвеска	в машину для малыша подвеска	QG_fcee1333632f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину для мужчины амулет	в машину для мужчины амулет	QG_2f5cb9456e3f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину женская дева	в машину женская дева	QG_96b3d552a313	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину женщине подвеска	в машину женщине подвеска	QG_cc40ea81d135	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину защита от сглаза	в машину защита от сглаза	QG_4b64e12bd33e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину красивая подвеска	в машину красивая подвеска	QG_83b89c416447	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину красивую подвеску с нашим триколором	в машину красивую подвеску с нашим триколором	QG_1a2c8bd0eab7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину кулон от сглаза	в машину кулон от сглаза	QG_34f09ecb65b2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину мужчине амулет	в машину мужчине амулет	QG_9f028223039b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на заруало	в машину на заруало	QG_8313cc7e736b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало	в машину на зеркало	QG_df158b6c8df4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало для девушки	в машину на зеркало для девушки	QG_58b50c7eea80	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало оберег	в машину на зеркало оберег	QG_d69fa30324d8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало подвес	в машину на зеркало подвес	QG_434b522b059c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало подвеска	в машину на зеркало подвеска	QG_1c63934277da	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало подвеска в виде дракона	в машину на зеркало подвеска в виде дракона	QG_e0057f4db36e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало подвеска женская	в машину на зеркало подвеска женская	QG_8c5630858fe5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало подвеска мужская	в машину на зеркало подвеска мужская	QG_bbf416120f40	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало подвеска четки	в машину на зеркало подвеска четки	QG_3374fa81af60	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на зеркало подвеска японская	в машину на зеркало подвеска японская	QG_05e3afe8949f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на удачу	в машину на удачу	QG_82dbe5214704	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину на удачу очень на счастье	в машину на удачу очень на счастье	QG_39326576e2a9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину оберег	в машину оберег	QG_a84a2b3a1ec2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину оберег с камнями	в машину оберег с камнями	QG_a6b7cffe7a32	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину овен	в машину овен	QG_9539553a3935	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвес	в машину подвес	QG_774722b54166	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска	в машину подвеска	QG_d4d403b597b9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска в салон	в машину подвеска в салон	QG_aa49824e6902	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска лев	в машину подвеска лев	QG_752a0cbf4d37	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска мужская на зеркало	в машину подвеска мужская на зеркало	QG_ff9793fb8fe0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска на зеркало	в машину подвеска на зеркало	QG_567b044b852d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска на зеркало мужская	в машину подвеска на зеркало мужская	QG_8e27e4f28538	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска на зеркало россия	в машину подвеска на зеркало россия	QG_de9393286ba8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска на зеркало с фото	в машину подвеска на зеркало с фото	QG_ff3cb901eea2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска на зеркало скорпион	в машину подвеска на зеркало скорпион	QG_35c2936f0864	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска на руль автомобиля	в машину подвеска на руль автомобиля	QG_8cf9edb6e5ab	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвеска э	в машину подвеска э	QG_43427863d933	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину подвестка на зеркало красивая	в машину подвестка на зеркало красивая	QG_b1759aa9b1de	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину скорпион	в машину скорпион	QG_7e381c215dff	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину славянский	в машину славянский	QG_d8b0f540f553	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину украшение на зеркало	в машину украшение на зеркало	QG_e0fd0aefc336	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину фигурка водолей	в машину фигурка водолей	QG_d733dd346390	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в машину. подвеска	в машину. подвеска	QG_bde837d3a098	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в славянской традиции	в славянской традиции	QG_d157969ffb49	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
в славянском стиле для	в славянском стиле для	QG_79883d28c0be	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
валькнут	валькнут	QG_248739d555b2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
валькнут амулет	валькнут амулет	QG_58a1c1115567	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
валькнут коврик на пол	валькнут коврик на пол	QG_542afe686730	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
валькнут кулон	валькнут кулон	QG_71b653c23e0f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
валькнут подвеска в машину	валькнут подвеска в машину	QG_6ecf41de607b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вегвезир	вегвезир	QG_ba1b57d58754	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вегвизир в машину	вегвизир в машину	QG_1a7c77a707cf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ведические	ведические	QG_302173bfeb88	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ведический амулет	ведический амулет	QG_a8a0c76df53d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ведьмина подвеска	ведьмина подвеска	QG_db17373d9d6b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ведьмино зеркало	ведьмино зеркало	QG_97ff40f6a8db	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ведьмочка подвеска в машину обьемная	ведьмочка подвеска в машину обьемная	QG_9038950a38e7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес	велес	QG_202dd7d36cee	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес амулет в машину	велес амулет в машину	QG_f491115e5eab	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес оберег волк	велес оберег волк	QG_61c60fbdaa3c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес оберег мужской	велес оберег мужской	QG_d70d3dc62a58	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес оберег подвеска	велес оберег подвеска	QG_2dd8fbeaf37f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес подвеска	велес подвеска	QG_3157d653ebc4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес подвеска женская	велес подвеска женская	QG_e33a0e45749a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
велес. красная кровь	велес. красная кровь	QG_84b11a573363	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вертолётик на зеркало уличное машины	вертолетик на зеркало уличное машины	QG_0ff757cb0411	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весеька в машину на зеркало пахочка	весеька в машину на зеркало пахочка	QG_d627727b4523	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы	весы	QG_4b6867bb8b2b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы авто	весы авто	QG_cf4c51e9cfea	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы амулет на стол	весы амулет на стол	QG_e3c2e4cbd8bb	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы в машину лексус	весы в машину лексус	QG_e74aac489cdd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы знак зодиака	весы знак зодиака	QG_f051a65d4bd7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы зодиак подвеска	весы зодиак подвеска	QG_713e887d7376	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы зодиака	весы зодиака	QG_6773514e9246	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы набор	весы набор	QG_eab78f09cb75	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весы подвеска в автомобиль	весы подвеска в автомобиль	QG_c462246c8d96	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
весючка в машину от зглаза на зеркало	весючка в машину от зглаза на зеркало	QG_e8b322fea52f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вибратор	вибратор	QG_9f93863554d0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вибратор для песка	вибратор для песка	QG_58689c1d6708	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
викинг подвеска в машину на зеркало	викинг подвеска в машину на зеркало	QG_2cc60e267ccf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
викинские амулет	викинские амулет	QG_32384ce4e45f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
виктор знак зодиака весы	виктор знак зодиака весы	QG_fe556731e3a7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька в машину на зеркало девушка на качельке	висюлька в машину на зеркало девушка на качельке	QG_60793d691baf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька в машину на зеркало лысый кот	висюлька в машину на зеркало лысый кот	QG_6910c98ad3a6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька в машину на зеркало мужская 18	висюлька в машину на зеркало мужская 18	QG_e957bd3a5b9b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька в машину на зеркало мусульманская	висюлька в машину на зеркало мусульманская	QG_a70bb73e0f29	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька в машину на зеркало мусульманская на грузовую	висюлька в машину на зеркало мусульманская на грузовую	QG_1617b7171f83	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька в машину на зеркало тайота четки	висюлька в машину на зеркало тайота четки	QG_43bf18a8e124	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька джили cityray в машину подвеска	висюлька джили cityray в машину подвеска	QG_5ea84aff849d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька на зеркало в машину ароматизатор мазда	висюлька на зеркало в машину ароматизатор мазда	QG_72596da81ae2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька на зеркало в машину белая пушистая	висюлька на зеркало в машину белая пушистая	QG_eba3b6e6c7ba	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюлька на зеркало в машину женская bmv	висюлька на зеркало в машину женская bmv	QG_2c0d47982481	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюльки в машину на зеркало знак диака стрелец	висюльки в машину на зеркало знак диака стрелец	QG_9ff00d499500	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюльки в машину на зеркало ловец снов	висюльки в машину на зеркало ловец снов	QG_09fbc5be29d5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюльки в машину на зеркало череп обезьяна	висюльки в машину на зеркало череп обезьяна	QG_e401782c09f3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюльки диско шар в машину на зеркало	висюльки диско шар в машину на зеркало	QG_9faa599e5fdd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюльки для авто на зеркало знак зодиака лев	висюльки для авто на зеркало знак зодиака лев	QG_244505177d14	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюльки на зеркало в машину мужское лицо	висюльки на зеркало в машину мужское лицо	QG_fb006e70461f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висючка в машину на зеркало люстра	висючка в машину на зеркало люстра	QG_bb8bc04be591	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висючка в машину на зеркало мчс	висючка в машину на зеркало мчс	QG_e8e6df49ccb7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
висюяка на зеркало в машину хавал	висюяка на зеркало в машину хавал	QG_71082b58288f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
витрина водолей	витрина водолей	QG_07e05774c620	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
во блага подвеска в машину	во блага подвеска в машину	QG_b89d32d2f277	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водоклей	водоклей	QG_d8e0a3f3e679	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей	водолей	QG_5f2b57d703d3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей в машину	водолей в машину	QG_02c329d97341	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей знак зодиака камееь	водолей знак зодиака камееь	QG_a5ea32886f2b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей кулон женский	водолей кулон женский	QG_d7692ecba897	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей на распрыскиватель заачасти	водолей на распрыскиватель заачасти	QG_1554eb54df1e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей одежда мужская	водолей одежда мужская	QG_fcae32b0aa3d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей подвеска с камнем	водолей подвеска с камнем	QG_c753e7decdf2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей подвеска ювелирная	водолей подвеска ювелирная	QG_ac2fe2463a28	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей расческа	водолей расческа	QG_a72b75834f57	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
водолей украшения	водолей украшения	QG_c503293e784e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
военная атрибутика для мужчины	военная атрибутика для мужчины	QG_580e0aa28c7a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
военный оберег	военный оберег	QG_4cdcca7804c4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
волейбольные мячики в машину на зеркало	волейбольные мячики в машину на зеркало	QG_e1bd69aaafcc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
волчья лапа подвеска на зеркало в машину	волчья лапа подвеска на зеркало в машину	QG_ba14c1d6ad82	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вольного борца подвеска в машину	вольного борца подвеска в машину	QG_780a7c3085dc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вонючка в машину архангел михаил на зеркало	вонючка в машину архангел михаил на зеркало	QG_7d914a0d033d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вонючка в машину оберег от дпс	вонючка в машину оберег от дпс	QG_e4ebc413e53d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вонючка в машину оберег от штрафа	вонючка в машину оберег от штрафа	QG_48c4ae53ea82	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вонючка дельфин в машину синяя на зеркало	вонючка дельфин в машину синяя на зеркало	QG_b7a4d7028e76	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вонючки в авто лакост подвески на зеркало	вонючки в авто лакост подвески на зеркало	QG_1f320286b4ea	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ворон оберег	ворон оберег	QG_5cf7718ea87d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
восклицательный знак на машину в красном треугольнике	восклицательный знак на машину в красном треугольнике	QG_fbcd12ad677a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
восклицательный знак на машину в треугольнике красный	восклицательный знак на машину в треугольнике красный	QG_e4371e291aea	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
все в славянском стиле	все в славянском стиле	QG_a28fdb1c93df	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
все для близнецов	все для близнецов	QG_e39ad6111d99	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
все для знака зодиака дева	все для знака зодиака дева	QG_bf84e4fc85b4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
всё для славянских чёток	все для славянских четок	QG_9adfac03b55f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вто триглав	вто триглав	QG_c019015f689a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вымпел военная прокуратура в машину на зеркало	вымпел военная прокуратура в машину на зеркало	QG_a6fc63260ab7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вымпел уголовный розыск в машину на зеркало	вымпел уголовный розыск в машину на зеркало	QG_f59cc956f614	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вымпелы подвески вдв в мошину	вымпелы подвески вдв в мошину	QG_e17bb5890cec	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
вышивка крестом оберегиславянские	вышивка крестом оберегиславянские	QG_cb55965a6c6d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гексаграмма козерог	гексаграмма козерог	QG_5fa8e7ff2f60	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
герб	герб	QG_8a2cd787698d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
герб россии на зеркало деревянный в машину	герб россии на зеркало деревянный в машину	QG_0779eff0190e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
герб рости наклека на машину	герб рости наклека на машину	QG_145379e80c22	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гномика в машину мягкая на зеркало	гномика в машину мягкая на зеркало	QG_8e67b86b6f62	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гобелен перун	гобелен перун	QG_21d4385c37f8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
год оф ва на зеркало в машину	год оф ва на зеркало в машину	QG_e48101c7abb8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
голая жеещина подвеска в машину	голая жеещина подвеска в машину	QG_f883e9714460	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
голова вуду подвеска на зеркало	голова вуду подвеска на зеркало	QG_c27d9c70ff84	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
голова хищника в машину подвеска	голова хищника в машину подвеска	QG_88cff94c5be4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
голова хищника подвеска в машину	голова хищника подвеска в машину	QG_d46c0327ee70	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
горшок дева знак зодиака	горшок дева знак зодиака	QG_347ad01a5fcd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
горький перец брелок в машину на зеркало	горький перец брелок в машину на зеркало	QG_d71ceaff7293	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гравити фолз в машину брелок на зеркало	гравити фолз в машину брелок на зеркало	QG_d17c08bbd585	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
громовик колесо	громовик колесо	QG_31e987b4d9e2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
громовик оберег с	громовик оберег с	QG_2f2605268d9c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
громовка оберег	громовка оберег	QG_d124ea37cd19	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гун подвеска	гун подвеска	QG_7154727455c3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гунгнир копье не	гунгнир копье не	QG_ac4a36977ea7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гунгнир копьём одиума	гунгнир копьем одиума	QG_493335aa4407	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
гусь обнимусь подвеска на нитке в машину	гусь обнимусь подвеска на нитке в машину	QG_5c7fc88dfca0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
дагестан папаха для машины на зеркало	дагестан папаха для машины на зеркало	QG_3644cea34e20	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
даждьбог	даждьбог	QG_f87aedfe490e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
даждьбог бусина	даждьбог бусина	QG_d635f5c71acc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
